Feature,Importance
Operating_Airline _WN,0.028709304
OriginStateName_California,0.023790823
OriginStateName_Illinois,0.022391945
Operating_Airline _ZW,0.021365281
DestStateName_Hawaii,0.018874533
OriginStateName_Michigan,0.018468903
DestStateName_Texas,0.015028025
Operating_Airline _YX,0.014686881
OriginStateName_Hawaii,0.014647474
Operating_Airline _B6,0.014425715
OriginStateName_Texas,0.012819528
OriginStateName_Alaska,0.012619516
Operated_or_Branded_Code_Share_Partners_DL,0.012056793
DayofMonth,0.011828054
Marketing_Airline_Network_AS,0.01123832
OriginStateName_Arizona,0.010866585
OriginStateName_Pennsylvania,0.0104328785
Marketing_Airline_Network_DL,0.010420654
OriginStateName_Virginia,0.010335073
OriginStateName_Maryland,0.00992267
Operating_Airline _DL,0.009794121
OriginStateName_Iowa,0.009766841
DestStateName_Florida,0.009764394
OriginStateName_Nevada,0.009362358
OriginStateName_Florida,0.009278497
DestStateName_Colorado,0.009157103
OriginStateName_Colorado,0.008810989
Marketing_Airline_Network_WN,0.008696133
Operating_Airline _PT,0.007907447
OriginStateName_New York,0.007830012
OriginStateName_Wisconsin,0.0075503285
DestStateName_Nevada,0.007452271
Operating_Airline _AA,0.0073870705
Marketing_Airline_Network_UA,0.007336838
OriginStateName_Utah,0.0071184994
DestStateName_Illinois,0.007057369
DestStateName_New Jersey,0.0070188
DestStateName_California,0.0068893624
OriginStateName_Massachusetts,0.0068517304
Operated_or_Branded_Code_Share_Partners_AA_CODESHARE,0.0067002196
Marketing_Airline_Network_B6,0.006669789
Operated_or_Branded_Code_Share_Partners_B6,0.0065224054
OriginStateName_Puerto Rico,0.0064534857
DestStateName_New York,0.00636242
DestStateName_Massachusetts,0.006346407
OriginStateName_Washington,0.006304262
DepartureHour,0.0062345727
OriginStateName_Missouri,0.006049559
OriginStateName_New Mexico,0.0059407745
DestStateName_Georgia,0.0059284666
Operated_or_Branded_Code_Share_Partners_HA,0.005776512
OriginStateName_Kentucky,0.005726001
Operated_or_Branded_Code_Share_Partners_UA,0.005713979
Operating_Airline _OO,0.005663265
DayOfWeek,0.005591861
Operated_or_Branded_Code_Share_Partners_WN,0.0055604833
DestStateName_Michigan,0.0054498743
OriginStateName_Nebraska,0.0054298067
Marketing_Airline_Network_HA,0.0053237407
Operating_Airline _OH,0.0053225765
OriginStateName_South Carolina,0.0052887374
ArrivalHour,0.0051635103
OriginStateName_Tennessee,0.0050577004
Operating_Airline _AS,0.005046202
Operated_or_Branded_Code_Share_Partners_DL_CODESHARE,0.004984358
DestStateName_Utah,0.0049780114
Marketing_Airline_Network_NK,0.0049170586
